"geo.id","geo.id2","band.id","animal.id","animal.taxon","deploy.on.date","deploy.on.time_GMT","deploy.off.date","deploy.off.time","lig.estimated.deploy.day","lig.estimated.recovery.day","animal.latest.date.born","animal.life.stage","Age.status","Wing.cord.mm","animal.mass","animal.sex","animal.taxon.detail","attachment.type","deploy.latitude","deploy.longitude","recovery.latitude","recovery.longitude","deployment.comments","deployment.end.type","manipulation.type","study.site","deploy.range","tag.comments","study.site.specification","tag.manufacturer.name","tag.mass","tag.model","tag.readout.method","tag.serial.no","Study","preliminary_analysis","recording_interval_seconds","light_threshold","Time_shift_hours","Recorded_North_South_mig","Light_Data_Available","Time_shift","In_habitat_median_zenith_angle","Hill_Ekstrom_median_angle","tol","MCMC.iter","MCMC.thin","MCMC.chains","changeLight.days","changelight.quantile","mergesites.distance","stat.nbr.limit","path.elongated","Insert_twilights","Range_region","Fall_carrib_edits","Clock_drift_edits","mod.deploy.lon","mod.deploy.lat","nbr.arrival","nbr.departure","spring.equinox.year","spring.equinox.date","Recaptured","IH.calib.start","IH.calib.end","IH.calib.start2","IH.calib.end2","Zenith0_adjustment","br.departure","br.arrival","br.departure.woodsworth","br.arrival.woodsworth","nbr.arrival.woodsworth","nbr.departure.woodsworth","X","First.trans.flight.start","first.trans.flight.start","First.trans.flight.start.1","first.trans.flight.start.1","light.review.quality","fall.br.departure","spring.br.arrival","X.1","Standard.geo.id","Breeding_region_MC"
"D","","2740-02250",NA,"Setophaga","2013-08-25","1:45:00","2014-04-15",NA,"2013-08-25","2014-04-15","2013-07-01","HY","Juvenile",72,12.1,"Female","striata","harness",43.408825,-66.014189,NA,NA,"captured and released on Seal Island, NS, Canada","removal","none","Nova Scotia, Canada","Breeding","Migrate Technology Ltd Intigeo-W50 (0.45 g including harness) geolocators","Seal Island","Migrate Technology Ltd","0.45","Intigeo-W50","tag-retrieval","F579","Deluca et al. 2015","Yes ",300,NA,4.476205333,"South","Yes","Yes",91.86402267,92.75,0.185,1000,20,3,1,0.92,250,14,FALSE,"No","Eastern",TRUE,FALSE,-65.8820445,43.4367935,16019,16175,2014,"2014-03-20","No","2013-09-01","2013-10-17",NA,NA,0,NA,NA,"","","","",NA,"","","","","","2013-10-10 21:51",NA,NA,"D","Eastern Region"
"E","","2540-59026",NA,"Setophaga","2013-06-18","0:50:00","2014-07-08",NA,"2013-06-18","2014-07-08","2012-07-01","Adult","Adult",NA,11,"Male ","striata","harness",44.528359,-72.815699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (0.6 g including harness) geolocators","","Biotrack","0.6","MK-6","tag-retrieval","","Deluca et al. 2015","No ",120,NA,NA,"Both","Yes","No ",93.38441885,91.5,0.255,1000,20,3,1,0.89,250,14,FALSE,"No ","Eastern",FALSE,FALSE,-72.815699,44.528354,16019,16188,2014,"2014-03-20","No","2013-07-01","2013-08-20","2014-05-25","2014-06-10",0,"15958",16204,"","","","",NA,"","","","","","03:11.5","38:08.7",NA,"E","Eastern Region"
"V7638_001","","1780-53957",NA,"Setophaga","2018-06-12","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72697,-149.4133,63.72709,-149.41327,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.47625391,91.25,0.14,1000,20,3,1,0.71,250,14,FALSE,"No","Western",FALSE,TRUE,-149.416795,63.722625,17838,18013,2019,"2019-03-19","Yes","2018-07-25","2018-08-25",NA,NA,0,"17775",18038,"","","","",NA,"","","","","","11:51.4","34:37.8",NA,"7638-001","Northwestern Region"
"V7638_005","","1760-53518",NA,"Setophaga","2018-06-14","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72635,-149.41446,63.72527,-149.41557,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.69946741,92,0.16,1000,20,3,1,0.63,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,17845,18006,2019,"2019-03-19","Yes","2018-07-25","2018-08-20",NA,NA,4,"17765",18038,"","","","",NA,"","","","","","2018-08-25 14:36","2019-06-10 8:40",NA,"7638-005","Northwestern Region"
"V7638_009","","1760-53502",NA,"Setophaga","2018-07-07","","2019-07-10",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72141,-149.42673,63.72145,-149.4257,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.76873855,92.75,0.12,1000,20,3,1,0.7,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,17831,18012,2019,"2019-03-19","Yes","2018-07-25","2018-08-22",NA,NA,2.5,"17766",18039,"","","","",NA,"","","","","","13:51.2","50:42.2",NA,"7638-009","Northwestern Region"
"V7638_010","","2850-21906",NA,"Setophaga","2018-07-03","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.717,-149.40282,63.72733,-149.41238,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",91.59768667,93.5,0.13,1000,20,3,1,0.83,250,14,TRUE,"No","Western",FALSE,TRUE,-149.416795,63.722625,17830,18013,2019,"2019-03-19","No","2018-07-25","2018-08-24",NA,NA,4,"17769",NA,"","","","",NA,"","","","","","47:50.5","31:28.3",NA,"7638-010","Northwestern Region"
"V7638_011","","1760-53590",NA,"Setophaga","2018-07-12","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72384,-149.41913,63.72527,-149.41557,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",91.35702502,92.75,0.08,1000,20,3,1,0.86,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,17815,18012,2019,"2019-03-19","Yes","2018-07-25","2018-08-25",NA,NA,3.5,"17765",18038,"","","","",NA,"","","","","","51:22.5","2019-05-21 7:06",NA,"7638-011","Northwestern Region"
"V8296_004","","2920-25333",NA,"Setophaga","2019-07-10","7:00",NA,NA,"2019-07-10","","","SY","Adult",71,12,"Male","striata","harness",47.38248,-71.08315,NA,NA,"","","","Quebec","Breeding","","","Lotek","?","ML-6740","","","Unpublished","No ",120,NA,59.21956088,"Both","Yes","Yes",92.84767818,93.75,0.09,1000,20,3,1,0.84,250,14,FALSE,"","Eastern",FALSE,FALSE,-71.08716,47.38339,18182,18357,2020,"2020-03-19","No","2019-07-17","2019-09-10",NA,NA,0,"18149",18409,"","","","",NA,"","","","","","2019-09-20 22:57","2020-05-26 0:50",NA,"8296-004","Eastern Region"
"V8296_005","","2920-25307",NA,"Setophaga","2019-06-18","6:45",NA,NA,"2019-06-18","","","SY","Adult",72,11.4,"Male","striata","harness",47.38323,-71.09479,NA,NA,"","","","Quebec","Breeding","","","Lotek","?","ML-6740","","","Unpublished","Yes ",120,NA,55.95313996,"Both","Yes","Yes",93.33852757,93,0.085,1000,20,3,1,0.8,250,14,FALSE,"Yes","Eastern",FALSE,FALSE,-71.08716,47.38339,18180,18353,2020,"2020-03-19","No","2019-07-01","2019-08-20",NA,NA,0,"18148",18409,"","","","",NA,"2019-09-28","2019-10-01","2019-10-08","2019-10-09","good","2019-09-06 23:30","2020-05-27 8:51",NA,"8296-005","Eastern Region"
"V8296_006","","2920-25329",NA,"Setophaga","2019-07-09","8:20",NA,NA,"2019-07-09","","","AHY","Adult",73,13.1,"Male","striata","harness",47.38599,-71.08172,NA,NA,"","","","Quebec","Breeding","","","Lotek","?","ML-6740","","","Unpublished","No",120,NA,NA,"Both","Yes","Yes",92.40639789,93,0.1,1000,20,3,1,0.92,250,14,FALSE,"Yes ","Eastern",FALSE,FALSE,-71.08716,47.38339,18182,18386,2020,"2020-03-19","No","2019-07-17","2019-09-10",NA,NA,0,"18160",18410,"","","","",NA,"","","","","","2019-09-27 10:35","2020-05-28 0:40",NA,"8296-006","Eastern Region"
